Family Subfamily Tribe Subtribe,Genus (Subgenus) species,States,Status,Host plant Family Tribe Genera
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) lenis,AZ-CA-NM,Uncommon-Rare,"Solanaceae: Chamaesaracha (A. Gray) Benth., Physalis L., Solanum L."
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Cockerellia) lepachidis,CO-NM-NV,Rare,Asteraceae: Ratibida Raf.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) lepidosparti,CA-ID-NV-UT,Uncommon-Rare,"Asteraceae: Chrysothamnus Nutt., Ericameria Nutt., Lepidospartum (A. Gray) A. Gray, Tetradymia DC."
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Pygoperdita) leucostoma,CA-NV-UT,Rare,Calochortus Pursh
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Cockerellia) lingualis,AZ-CA-CO-ID-NM-UT-WA-WY,Uncommon-Rare,"Asteraceae: Ericameria Nutt., Helianthus L., Verbesina L."
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) lucens,CA-NV,Rare,Eriogonum Michx.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) luciae,AZ-CA-NM-NV-UT,Uncommon,"Fabaceae: Parkinsonia L., Prosopis L., Vachellia Wight & Arn."
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Cockerellia) luculenta,AZ-CA-NV,Rare,"Asteraceae: Palafoxia Lag., Pectis L."
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) lunulata,AZ-NM,Rare,Mentzelia L.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) luteola,AZ-CO-ID-NM-NV-WY,Uncommon-Rare,"Asteraceae: Baileya Harv. & A. Gray ex A. Gray, Chrysothamnus Nutt., Ericameria Nutt., Gutierrezia Lag., Isocoma Nutt., Xanthocephalum Willd."
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) lycii,AZ,Rare,Lycium L.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) maculigera,CO-NM,Rare,Salix L.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Heteroperdita) maculosa,AZ-CA-NV,Rare,Tiquilia Pers.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Pygoperdita) malacothricis,AZ-CA-NV-NM,Uncommon-Rare,"Asteraceae: Atrichoseris A. Gray, Baileya Harv. & A. Gray ex A. Gray, Chaenactis DC., Malacothrix DC., Rafinesquia Nutt., Stephanomeria Nutt."
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Pentaperdita) mandibularis,CA-NV,Rare,"Asteraceae: Bebbia (Benth.) Greene, Chaenactis DC., Palafoxia Lag."
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Pygoperdita) meconis,AZ-CA-NV-UT,Rare,"Arctomecon Torr. & Frém., Argemone L."
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) media,CA,Uncommon-Rare,Asteraceae: Isocoma Nutt.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Pentaperdita) melanochlora,AZ-CA-NM-NV,Uncommon-Rare,"Asteraceae: Baileya Harv. & A. Gray ex A. Gray, Bebbia (Benth.) Greene, Encelia Adans., Geraea Torr. & A. Gray, Viguiera Kunth"
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) melanostoma,AZ-CO-ID-NM-UT-WY,Uncommon-Rare,"Asteraceae: Baileya Harv. & A. Gray ex A. Gray, Ericameria Nutt., Gutierrezia Lag."
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) mentzeliae,AZ-CO-NM,Rare,Mentzelia L.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) mentzeliarum,AZ-NM-NV,Rare,Mentzelia L.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) mesillensis,NM-UT,Uncommon-Rare,"Asteraceae: Gutierrezia Lag., Pectis L."
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) mimula,CA,Rare,Asteraceae: Isocoma Nutt.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perditella) minima,AZ-CA-NM-NV,Uncommon,"Euphorbiaceae: Chamaesyce Gray, Euphorbia L."
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Pygoperdita) mohavensis,AZ-CA-NV-UT,Uncommon-Rare,"Papaveraceae: Arctomecon Torr. & Frém., Argemone L., Eschscholzia Cham."
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Pygoperdita) montereyensis,CA,Uncommon,Eschscholzia Cham.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Pygoperdita) mucronata,CA,Rare,Eschscholzia Cham.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) multiflorae,UT,Rare,Mentzelia L.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) munda,AZ-ID-UT,Uncommon-Rare,"Asteraceae: Chrysothamnus Nutt., Ericameria Nutt."
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) munita,AZ-NM,Uncommon-Rare,Chamaesaracha (A. Gray) Benth.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Epimacrotera) namatophila,CA,Rare,Phacelia Juss.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Epimacrotera) nanula,AZ,Rare,Euphorbia L.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) nasuta,AZ-CA-NM-NV-UT,Uncommon,Eriogonum Michx.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Glossoperdita) navarretiae,CA,Rare,"Polemoniaceae: Allophyllum (Nutt.) A.D. Grant & V.E. Grant, Navarretia Ruiz & Pav."
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Pygoperdita) nevadensis,CA-OR-WA,Uncommon-Rare,Eriogonum Michx.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) nigridia,AZ-CA-NV,Uncommon-Rare,Mentzelia L.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Epimacrotera) nigriventris,AZ,Rare,Euphorbia L.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Epimacrotera) nigrocaerulea,CA,Rare,Salazaria Torr.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Pygoperdita) nitens,CA,Rare,Eschscholzia Cham.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) nuda,AZ-CO-ID-NM-UT,Uncommon-Rare,"Asteraceae: Chrysothamnus Nutt., Ericameria Nutt., Erigeron L., Grindelia Willd., Gutierrezia Lag., Solidago L."
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) numerata,AZ-CA-NM,Uncommon-Rare,"Fabaceae: Prosopis L., Vachellia Wight & Arn."
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Heteroperdita) nuttalliae,NV-OR-UT,Rare,Tiquilia Pers.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) obscurella,AZ-NM,Uncommon-Rare,"Euphorbiaceae: Chamaesyce Gray, Euphorbia L."
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) octomaculata,NM,Rare,"Asteraceae: Astereae: Baccharis L., Euthamia Nutt. ex Cass., Grindelia Willd., Solidago L., Symphyotrichum Nees"
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Heteroperdita) optiva,AZ-CA-NV,Rare,Tiquilia Pers.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) oregonensis,AZ-CA-ID-NM-NV-OR-UT-WA-WY,Rare,"Asteraceae: Chaenactis DC., Chrysothamnus Nutt., Encelia Adans., Ericameria Nutt., Geraea Torr. & A. Gray, Grindelia Willd., Gutierrezia Lag."
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Cockerellia) pachygnatha,CA,Rare,Chrysothamnus Nutt.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Xerophasma) pallida,CA-NV,Rare,Oenothera L.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) pallidipes,AZ-CA-NV,Rare,Prosopis L.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) pectoralis,AZ-CA,Rare,Eriogonum Michx.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Epimacrotera) peculiaris,NM,Rare,Chamaesaracha (A. Gray) Benth.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Glossoperdita) pelargoides,CA,Rare,"Polemoniaceae: Eriastrum Wooton & Standl., Navarretia Ruiz & Pav."
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) percincta,AZ-UT,Rare,Gutierrezia Lag.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) perpallida,NM-UT,Rare,Dalea L.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) perplexa,NM-UT,Uncommon-Rare,Mentzelia L.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Cockerellia) perpulchra,AZ-CO-NM-UT,Uncommon-Rare,"Asteraceae: Aphanostephus DC., Baileya Harv. & A. Gray ex A. Gray, Dyssodia Cav., Grindelia Willd., Gutierrezia Lag., Heterotheca Cass., Isocoma Nutt., Vanclevea Greene, Verbesina L., Xanthocephalum Willd., Xylothamia G.L. Nesom, Suh, D. Morgan & Simpson"
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) phymatae,AZ-CO-ID-NM-NV-UT,Uncommon-Rare,"Asteraceae: Baileya Harv. & A. Gray ex A. Gray, Chrysothamnus Nutt., Ericameria Nutt., Gutierrezia Lag., Helianthus L."
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Heteroperdita) pilonotata,NM,Rare,Tiquilia Pers.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) plucheae,AZ-CA-NV,Rare,Pluchea Cass.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) polita,CA,Rare,Asteraceae: Centromadia Greene
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Epimacrotera) polycarpae,AZ-CA-NV,Rare,"Euphorbiaceae: Chamaesyce Gray, Euphorbia L."
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) prionopsidis,CO,Rare,"Asteraceae: Boltonia L'Hér., Grindelia Willd., Heterotheca Cass."
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Heteroperdita) prodigiosa,NV,Rare,Tiquilia Pers.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) propinqua,CA,Rare,"Polemoniaceae: Leptosiphon Benth., Linanthus Benth."
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) prosopidis,AZ-CA-NV,Rare,Prosopis L.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) proxima,CA,Uncommon-Rare,"Asteraceae: Chrysothamnus Nutt., Ericameria Nutt., Isocoma Nutt."
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) punctifera,AZ-CA,Uncommon-Rare,Mentzelia L.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) punctifrons,CA,Rare,Asteraceae: Lessingia Cham.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) punctosignata,AZ-CA-NM-NV-UT,Common-Uncommon,"Fabaceae: Parkinsonia L., Prosopis L., Vachellia Wight & Arn."
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) punctulata,AZ-CA-NV,Uncommon,Larrea Cav.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Hesperoperdita) pyrifera,CA,Rare,Fabaceae: Lotus L.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) physalidis,AZ-CA,Rare,Physalis L.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) rectangulata,AZ-CO-ID-NM-UT-WY,Uncommon-Rare,"Asteraceae: Chrysothamnus Nutt., Ericameria Nutt., Gutierrezia Lag., Solidago L."
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) repens,CA,Rare,Ericameria Nutt.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) reperta,AZ-CO-NM,Rare,"Asteraceae: Chrysothamnus Nutt., Ericameria Nutt."
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) retusa,AZ-CA-NM,Rare,Ericameria Nutt.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Heteroperdita) rhodogastra,AZ-CA-NV,Rare,Tiquilia Pers.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) rhodura,AZ-CO-NM-UT-WY,Uncommon-Rare,"Asteraceae: Baileya Harv. & A. Gray ex A. Gray, Chrysothamnus Nutt., Ericameria Nutt., Gutierrezia Lag., Viguiera Kunth"
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Xerophasma) rhondae,CA,Rare,Camissonia Link
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) rivalis,CA-NV,Rare,"Asteraceae: Erigeron L., Machaeranthera Nees, Solidago L."
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Pygoperdita) robustula,CA-NV,Rare,"Papaveraceae: Arctomecon Torr. & Frém., Argemone L., Eschscholzia Cham."
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) salicis,AZ-CA-CO-ID-NM-NV-OR-UT-WA,Uncommon-Rare,Salix L.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) salviae,CA,Rare,Salvia L.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) scitula,AZ-CA-NM,Rare,"Asteraceae: Ericameria Nutt., Gutierrezia Lag., Heterotheca Cass., Lessingia Cham."
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) scotti,CA,Rare,Ericameria Nutt.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Heteroperdita) scutellaris,CA,Rare,Tiquilia Pers.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) semicaerulea,AZ-CA-NM-NV,Uncommon,Larrea Cav.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) semicrocea,AZ-NM,Rare,"Asteraceae: Gutierrezia Lag., Solidago L."
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) semilutea,CA,Rare,Eriogonum Michx.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Heteroperdita) sexfasciata,AZ-CA-NV,Rare,Tiquilia Pers.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) similis,AZ-CA-CO-ID-NM-NV-OR-UT-WA-WY,Common-Uncommon,"Asteraceae: Chrysothamnus Nutt., Ericameria Nutt., Grindelia Willd., Gutierrezia Lag., Isocoma Nutt., Tetradymia DC."
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) snellingi,CA,Rare,"Asteraceae: Ericameria Nutt., Gutierrezia Lag., Solidago L."
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) snowii,AZ-CO-UT,Rare,Asteraceae: Gutierrezia Lag.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) sonorensis,AZ-CA-NV,Uncommon-Rare,Prosopis L.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) sphaeralceae,AZ-NM-UT,Uncommon,Sphaeralcea A. St.-Hil.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) stathamae,AZ-CA-NM-NV,Uncommon-Rare,"Fabaceae: Prosopis L., Vachellia Wight & Arn."
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Procockerellia) stephanomeriae,CA-NV,Rare,Stephanomeria Nutt.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) stottleri,AZ-CA-CO-ID-NM-NV-OR-UT-WY,Uncommon-Rare,"Asteraceae: Chrysothamnus Nutt., Ericameria Nutt., Grindelia Willd., Gutierrezia Lag., Heterotheca Cass."
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) subfasciata,AZ-CA-NM-NV-OR-UT,Uncommon-Rare,"Asteraceae: Chrysothamnus Nutt., Ericameria Nutt., Gutierrezia Lag."
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) subvestita,AZ-NM-UT,Rare,"Asteraceae: Ericameria Nutt., Gutierrezia Lag., Xanthisma DC."
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) swenki,CO-MT,Rare,"Asteraceae: Grindelia Willd., Helianthus L., Heterotheca Cass., Solidago L."
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) swezeyi,CA-NV-UT,Rare,Asteraceae: Erigeron L.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Heteroperdita) sycorax,UT,Rare,Tiquilia Pers.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) taeniata,NM,Rare,Ericameria Nutt.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) thelypodii,CA-NV,Rare,Cleome L.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) thermophila,AZ-CA-NV-UT,Uncommon-Rare,Eriogonum Michx.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) timberlakei,CA,Uncommon-Rare,Eriogonum Michx.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Heteroperdita) titania,CA,Rare,Tiquilia Pers.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) tortifoliae,AZ-CA-CO-NM-NV-UT,Uncommon-Rare,Lepidium L.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) townsendi,AZ-NM,Rare,"Asteraceae: Ericameria Nutt., Gutierrezia Lag."
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) translineata,NM,Rare,"Asteraceae: Baileya Harv. & A. Gray ex A. Gray, Heterotheca Cass."
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) triangulifera,AZ-CA-NM-NV-UT,Uncommon-Rare,"Fabaceae: Parkinsonia L., Prosopis L., Vachellia Wight & Arn."
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) tridentata,CO-NM,Rare,Helianthus L.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Heteroperdita) trifasciata,NM,Rare,Tiquilia Pers.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) trifida,CA,Rare,Isocoma Nutt.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) trimaculata,AZ-CA-NV,Rare,"Asteraceae: Chrysothamnus Nutt., Ericameria Nutt., Gutierrezia Lag."
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) trinotata,NM,Rare,Lesquerella S. Watson
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Hesperoperdita) trisignata,CA,Uncommon-Rare,Fabaceae: Lotus L.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Pygoperdita) tularensis,CA,Rare,Calochortus Pursh
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Cockerellia) utahensis,AZ-CA-NM-NV-UT,Uncommon-Rare,"Asteraceae: Baileya Harv. & A. Gray ex A. Gray, Geraea Torr. & A. Gray, Helianthus L., Pectis L., Verbesina L."
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Pygoperdita) ute,UT,Rare,Argemone L.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Pygoperdita) vandykei,CA,Rare,Malacothrix DC.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) variegata,ID,Rare,Monarda L.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) varleyi,CA,Rare,Eriogonum Michx.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Cockerellia) verbesinae,AZ-CA-NM-UT,Uncommon-Rare,"Asteraceae: Baccharis L., Baileya Harv. & A. Gray ex A. Gray, Chrysothamnus Nutt., Geraea Torr. & A. Gray, Gutierrezia Lag., Helianthus L., Heliopsis Pers., Heterotheca Cass., Verbesina L., Viguiera Kunth"
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Heteroperdita) vesca,CA-NV-OR-UT,Rare,Tiquilia Pers.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Xerophasma) vespertina,NV,Rare,Camissonia Link
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) vittata,CA-NV,Rare,"Capparaceae: Cleome L., Cleomella DC., Oxystylis Torr. & Frém., Wislizenia Engelm."
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Heteroperdita) wasbaueri,CA,Rare,Tiquilia Pers.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) wilmattae,AZ-CA-CO-NM-NV-WY,Uncommon,"Capparaceae: Cleome L., Cleomella DC., Oxystylis Torr. & Frém., Wislizenia Engelm."
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) wislizeniae,AZ-NM,Rare,"Capparaceae: Cleome L., Cleomella DC., Oxystylis Torr. & Frém., Wislizenia Engelm."
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) wootonae,CO-NM-WY,Rare,Mentzelia L.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Hexaperdita) xanthismae,AZ-NM-WY,Rare,Asteraceae: Xanthisma DC.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) xanthochroa,CO-ID-NM-UT,Rare,Sphaeralcea A. St.-Hil.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) xanthodes,CA-UT,Rare,Asteraceae: Ericameria Nutt.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) xerophila,AZ-CA-NV-UT,Uncommon-Rare,Eriogonum Michx.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Heteroperdita) yanegai,AZ-CA-NV,Rare,Tiquilia Pers.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) yosemitensis,CA,Uncommon-Rare,Eriogonum Michx.
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) zebrata,AZ-CA-CO-ID-MT-NM-NV-OR-UT-WY,Common,"Capparaceae: Cleome L., Cleomella DC., Oxystylis Torr. & Frém., Wislizenia Engelm."
Andrenidae: Panurginae: Panurgini: Perditina,Perdita (Perdita) zonalis,CA-CO-ID-MT-NV-OR-UT-WY,Uncommon-Rare,"Asteraceae: Chrysothamnus Nutt., Ericameria Nutt., Eriogonum Michx., Gutierrezia Lag., Heterotheca Cass., Isocoma Nutt., Lepidospartum (A. Gray) A. Gray, Machaeranthera Nees, Solidago L., Symphyotrichum Nees"
Andrenidae: Panurginae: Protandrenini,Protandrena abdominalis,NM,Rare,Monarda L.
Andrenidae: Panurginae: Protandrenini,Protandrena tidestromiae,AZ-NM,Rare,Tidestromia Standl.
Andrenidae: Panurginae: Protandrenini,Protandrena verbesinae,AZ-NM,Rare,"Asteraceae: Baileya Harv. & A. Gray ex A. Gray, Helianthus L., Heterotheca Cass., Machaeranthera Nees, Pectis L."
Andrenidae: Panurginae: Protandrenini,Pseudopanurgus aestivalis,CO,Rare,"Asteraceae: Erigeron L., Grindelia Willd., Solidago L."
Andrenidae: Panurginae: Protandrenini,Pseudopanurgus aethiops,AZ-CO-ID-NM-UT-WY,Uncommon-Rare,"Asteraceae: Helianthus L., Heterotheca Cass., Verbesina L., Viguiera Kunth"
Andrenidae: Panurginae: Protandrenini,Pseudopanurgus albitarsis,AZ-CO-NM-UT,Rare,"Asteraceae: Baccharis L., Coreopsis L., Echinacea Moench, Helianthus L., Ratibida Raf., Rudbeckia L."
Andrenidae: Panurginae: Protandrenini,Pseudopanurgus atricornis,AZ-CO-NM,Rare,Asteraceae: Erigeron L.
Andrenidae: Panurginae: Protandrenini,Pseudopanurgus barberi,AZ-NM,Rare,"Asteraceae: Verbesina L., Viguiera Kunth"
Andrenidae: Panurginae: Protandrenini,Pseudopanurgus boylei,AZ-CO-NM-UT,Rare,Asteraceae: Verbesina L.
Andrenidae: Panurginae: Protandrenini,Pseudopanurgus citripes,CO-NM,Rare,Asteraceae: Heterotheca Cass.
Andrenidae: Panurginae: Protandrenini,Pseudopanurgus dicksoni,AZ-CA-NM,Rare,Asteraceae: Pectis L.
Andrenidae: Panurginae: Protandrenini,Pseudopanurgus didirupa,CO-ID-MT-NM-UT-WY,Rare,Asteraceae: Erigeron L.
Andrenidae: Panurginae: Protandrenini,Pseudopanurgus fraterculus,AZ-CA-CO-NM,Uncommon-Rare,"Asteraceae: Baileya Harv. & A. Gray ex A. Gray, Gutierrezia Lag., Haplopappus Cass., Heliopsis Pers., Heterotheca Cass., Hymenothrix A. Gray, Machaeranthera Nees, Melampodium L., Verbesina L."
Andrenidae: Panurginae: Protandrenini,Pseudopanurgus helianthi,AZ-NM,Rare,Asteraceae: Helianthus L.
Andrenidae: Panurginae: Protandrenini,Pseudopanurgus illustris,AZ,Rare,Asteraceae: Verbesina L.
Andrenidae: Panurginae: Protandrenini,Pseudopanurgus innuptus,AZ-CO-ID-MT-NM-NV-UT-WY,Rare,Asteraceae: Helianthus L.
Andrenidae: Panurginae: Protandrenini,Pseudopanurgus irregularis,CA-CO-ID-MT-NV-OR-UT-WY,Rare,Grindelia Willd.
Andrenidae: Panurginae: Protandrenini,Pseudopanurgus leucopterus,CO-NM,Rare,Asteraceae: Helianthus L.
Andrenidae: Panurginae: Protandrenini,Pseudopanurgus nanulus,AZ-NM,Rare,Euphorbia L.
Andrenidae: Panurginae: Protandrenini,Pseudopanurgus occiduus,AZ-NM,Rare,Asteraceae: Heterotheca Cass.
Andrenidae: Panurginae: Protandrenini,Pseudopanurgus pectidellus,AZ-NM,Rare,"Asteraceae: Baileya Harv. & A. Gray ex A. Gray, Verbesina L."
Andrenidae: Panurginae: Protandrenini,Pseudopanurgus pectiphilus,AZ-CA-NM-NV,Rare,"Asteraceae: Pectis L., Verbesina L."
Andrenidae: Panurginae: Protandrenini,Pseudopanurgus perarmatus,AZ,Rare,Asteraceae: Verbesina L.
Andrenidae: Panurginae: Protandrenini,Pseudopanurgus perpunctatus,AZ-NM,Rare,Asteraceae: Heterotheca Cass.
Andrenidae: Panurginae: Protandrenini,Pseudopanurgus piercei,CO-NM,Rare,"Asteraceae: Grindelia Willd., Helianthus L., Solidago L."
Andrenidae: Panurginae: Protandrenini,Pseudopanurgus porterae,AZ-CA-CO-NM,Rare,Asteraceae: Helianthus L.
Andrenidae: Panurginae: Protandrenini,Pseudopanurgus renimaculatus,AZ-CO-ID-NM-UT-WY,Rare,"Asteraceae: Baccharis L., Boltonia L'Hér., Grindelia Willd., Helianthus L., Symphyotrichum Nees"
Andrenidae: Panurginae: Protandrenini,Pseudopanurgus rugosus,CO,Rare,"Asteraceae: Bidens L., Helianthus L., Heliopsis Pers., Rudbeckia L., Silphium L."
Andrenidae: Panurginae: Protandrenini,Pseudopanurgus verticalis,AZ-CA-NM,Rare,"Asteraceae: Pectis L., Verbesina L."
Apidae: Apinae: Anthophorini,Anthophora (Micranthophora) abroniae,AZ-CA-NV,Rare,Abronia Juss.
Apidae: Apinae: Anthophorini,Anthophora (Lophanthophora) affabilis,AZ-CA-CO-ID-MT-NM-NV-OR-UT-WA-WY,Uncommon-Rare,Oenothera L.
Apidae: Apinae: Anthophorini,Anthophora (Micranthophora) cockerelli,CA-NV-UT,Rare,"Capparaceae: Cleome L., Cleomella DC., Oxystylis Torr. & Frém., Wislizenia Engelm."
