Group,Family,Scientific_name,Name_Status,Accepted_Name,Taxonomic_Note,Origin,FloraStatus,ConceptNum,Acronym,FloraPage,Scientific_name_auths
Dicotyledons,Orobanchaceae,Orobanche uniflora var. occidentalis,Misapplied,Aphyllon purpureum,,,,2878,OROUNIOCC2,,Orobanche uniflora L. var. occidentalis (Greene) Roy L. Taylor & MacBryde 
Dicotyledons,Orobanchaceae,Orobanche uniflora var. purpurea,Synonym,Aphyllon purpureum,,,,2878,OROUNIPUR,,Orobanche uniflora L. var. purpurea (A. Heller) Achey 
Dicotyledons,Orobanchaceae,Orthocarpus attenuatus,Synonym,Castilleja attenuata,,,,2851,ORTATT,,Orthocarpus attenuatus A. Gray 
Dicotyledons,Orobanchaceae,Orthocarpus bracteosus,Accepted,Orthocarpus bracteosus,,native,,2852,ORTBRA,,Orthocarpus bracteosus Benth. 
Dicotyledons,Orobanchaceae,Orthocarpus campestris,Synonym,Castilleja campestris var. campestris,,,,2853,ORTCAM,,Orthocarpus campestris Benth. 
Dicotyledons,Orobanchaceae,Orthocarpus castillejoides,Synonym,Castilleja ambigua var. ambigua,,,,697,ORTCAS,,Orthocarpus castillejoides Benth. 
Dicotyledons,Orobanchaceae,Orthocarpus copelandii var. copelandii,Synonym,Orthocarpus cuspidatus ssp. copelandii,,,,2857,ORTCOPCOP,,Orthocarpus copelandii Eastw. var. copelandii 
Dicotyledons,Orobanchaceae,Orthocarpus copelandii var. cryptanthus,Synonym,Orthocarpus cuspidatus ssp. cryptanthus,,,,2858,ORTCOPCRY,,Orthocarpus copelandii Eastw. var. cryptanthus (Piper) D.D. Keck 
Dicotyledons,Orobanchaceae,Orthocarpus cuspidatus,Accepted,Orthocarpus cuspidatus,Bare species,native,,9695,ORTCUS,,Orthocarpus cuspidatus Greene 
Dicotyledons,Orobanchaceae,Orthocarpus cuspidatus ssp. copelandii,Accepted,Orthocarpus cuspidatus ssp. copelandii,,native,,2857,ORTCUSCOP,,Orthocarpus cuspidatus Greene ssp. copelandii (Eastw.) T.I. Chuang & Heckard 
Dicotyledons,Orobanchaceae,Orthocarpus cuspidatus ssp. cryptanthus,Accepted,Orthocarpus cuspidatus ssp. cryptanthus,,native,,2858,ORTCUSCRY,,Orthocarpus cuspidatus Greene ssp. cryptanthus (Piper) T.I. Chuang & Heckard 
Dicotyledons,Orobanchaceae,Orthocarpus cuspidatus ssp. cuspidatus,Accepted,Orthocarpus cuspidatus ssp. cuspidatus,,native,,2859,ORTCUSCUS,,Orthocarpus cuspidatus Greene ssp. cuspidatus 
Dicotyledons,Orobanchaceae,Orthocarpus erianthus,Synonym,Triphysaria eriantha ssp. eriantha,,,,4137,ORTERI,,Orthocarpus erianthus Benth. 
Dicotyledons,Orobanchaceae,Orthocarpus erianthus var. erianthus,Synonym,Triphysaria eriantha ssp. eriantha,,,,4137,ORTERIERI,,Orthocarpus erianthus Benth. var. erianthus 
Dicotyledons,Orobanchaceae,Orthocarpus erianthus var. gratiosus,Synonym,Triphysaria eriantha ssp. eriantha,,,,4137,ORTERIGRA,,Orthocarpus erianthus Benth. var. gratiosus Jeps. & J.P. Tracy 
Dicotyledons,Orobanchaceae,Orthocarpus faucibarbatus ssp. albidus,Synonym,Triphysaria versicolor ssp. versicolor,,,,4208,ORTFAUALB,,Orthocarpus faucibarbatus A. Gray ssp. albidus D.D. Keck 
Dicotyledons,Orobanchaceae,Orthocarpus hispidus,Synonym,Castilleja tenuis,,,,2864,ORTHIS,,Orthocarpus hispidus Benth. 
Dicotyledons,Orobanchaceae,Orthocarpus imbricatus,Accepted,Orthocarpus imbricatus,,native,,2866,ORTIMB,,Orthocarpus imbricatus Torr. ex S. Watson 
Dicotyledons,Orobanchaceae,Orthocarpus lacerus,Synonym,Castilleja lacera,,,,2867,ORTLAC,,Orthocarpus lacerus Benth. 
Dicotyledons,Orobanchaceae,Orthocarpus luteus,Accepted,Orthocarpus luteus,,native,,2870,ORTLUT,,Orthocarpus luteus Nutt. 
Dicotyledons,Orobanchaceae,Orthocarpus pusillus,Synonym,Triphysaria pusilla,,,,4193,ORTPUS,,Orthocarpus pusillus Benth. 
Dicotyledons,Orobanchaceae,Orthocarpus tenuifolius,Accepted,Orthocarpus tenuifolius,,native,,2875,ORTTEN,,Orthocarpus tenuifolius (Pursh) Benth. 
Dicotyledons,Orobanchaceae,Parentucellia viscosa,Synonym,Bellardia viscosa,,,,2919,PARVIS,,Parentucellia viscosa (L.) Caruel 
Dicotyledons,Orobanchaceae,Pedicularis attolens,Synonym,Pedicularis attollens,,,,2923,PEDATT2,,Pedicularis attolens A. Gray 
Dicotyledons,Orobanchaceae,Pedicularis attollens,Accepted,Pedicularis attollens,,native,,2923,PEDATT,,Pedicularis attollens A. Gray 
Dicotyledons,Orobanchaceae,Pedicularis attollens ssp. attollens,Synonym,Pedicularis attollens,,,,2923,PEDATTATT,,Pedicularis attollens A. Gray ssp. attollens 
Dicotyledons,Orobanchaceae,Pedicularis attollens ssp. protogyna,Synonym,Pedicularis attollens,,,,2923,PEDATTPRO,,Pedicularis attollens A. Gray ssp. protogyna Pennell 
Dicotyledons,Orobanchaceae,Pedicularis aurantiaca,Synonym,Pedicularis densiflora ssp. aurantiaca,,,,13934,PEDAUR,,Pedicularis aurantiaca (E.F. Sprague) Monfils & Prather 
